"bates_number","processed"
"HOUSE_OVERSIGHT_026935",false
"HOUSE_OVERSIGHT_026936",false
"HOUSE_OVERSIGHT_026937",false
"HOUSE_OVERSIGHT_026938",false
"HOUSE_OVERSIGHT_026942",false
"HOUSE_OVERSIGHT_026975",false
"HOUSE_OVERSIGHT_026985",false
"HOUSE_OVERSIGHT_026998",false
"HOUSE_OVERSIGHT_026999",false
"HOUSE_OVERSIGHT_027028",false
"HOUSE_OVERSIGHT_027030",false
"HOUSE_OVERSIGHT_027032",false
"HOUSE_OVERSIGHT_027034",false
"HOUSE_OVERSIGHT_027035",false
"HOUSE_OVERSIGHT_027036",false
"HOUSE_OVERSIGHT_027038",false
"HOUSE_OVERSIGHT_027041",false
"HOUSE_OVERSIGHT_027044",false
"HOUSE_OVERSIGHT_027045",false
"HOUSE_OVERSIGHT_027046",false
"HOUSE_OVERSIGHT_027048",false
"HOUSE_OVERSIGHT_027049",false
"HOUSE_OVERSIGHT_027053",false
"HOUSE_OVERSIGHT_027056",false
"HOUSE_OVERSIGHT_027059",false
"HOUSE_OVERSIGHT_027061",false
"HOUSE_OVERSIGHT_027062",false
"HOUSE_OVERSIGHT_027063",false
"HOUSE_OVERSIGHT_027067",false
"HOUSE_OVERSIGHT_027094",false
"HOUSE_OVERSIGHT_027095",false
"HOUSE_OVERSIGHT_027097",false
"HOUSE_OVERSIGHT_027099",false
"HOUSE_OVERSIGHT_027102",false
"HOUSE_OVERSIGHT_027126",false
"HOUSE_OVERSIGHT_028482",false
"HOUSE_OVERSIGHT_028485",false
"HOUSE_OVERSIGHT_028486",false
"HOUSE_OVERSIGHT_028487",false
"HOUSE_OVERSIGHT_028493",false
"HOUSE_OVERSIGHT_028494",false
"HOUSE_OVERSIGHT_028497",false
"HOUSE_OVERSIGHT_028501",false
"HOUSE_OVERSIGHT_028505",false
"HOUSE_OVERSIGHT_028506",false
"HOUSE_OVERSIGHT_028507",false
"HOUSE_OVERSIGHT_028508",false
"HOUSE_OVERSIGHT_028524",false
"HOUSE_OVERSIGHT_028531",false
"HOUSE_OVERSIGHT_028533",false
"HOUSE_OVERSIGHT_028536",false
"HOUSE_OVERSIGHT_028576",false
"HOUSE_OVERSIGHT_028589",false
"HOUSE_OVERSIGHT_028601",false
"HOUSE_OVERSIGHT_028611",false
"HOUSE_OVERSIGHT_028620",false
"HOUSE_OVERSIGHT_028648",false
"HOUSE_OVERSIGHT_028675",false
"HOUSE_OVERSIGHT_028728",false
"HOUSE_OVERSIGHT_028752",false
"HOUSE_OVERSIGHT_028762",false
"HOUSE_OVERSIGHT_028765",false
"HOUSE_OVERSIGHT_028768",false
"HOUSE_OVERSIGHT_028770",false
"HOUSE_OVERSIGHT_028773",false
"HOUSE_OVERSIGHT_028775",false
"HOUSE_OVERSIGHT_028780",false
"HOUSE_OVERSIGHT_028781",false
"HOUSE_OVERSIGHT_028786",false
"HOUSE_OVERSIGHT_028787",false
"HOUSE_OVERSIGHT_028789",false
"HOUSE_OVERSIGHT_028791",false
"HOUSE_OVERSIGHT_028846",false
"HOUSE_OVERSIGHT_028847",false
"HOUSE_OVERSIGHT_028848",false
"HOUSE_OVERSIGHT_028850",false
"HOUSE_OVERSIGHT_028852",false
"HOUSE_OVERSIGHT_028854",false
"HOUSE_OVERSIGHT_028856",false
"HOUSE_OVERSIGHT_028859",false
"HOUSE_OVERSIGHT_028862",false
"HOUSE_OVERSIGHT_028866",false
"HOUSE_OVERSIGHT_028870",false
"HOUSE_OVERSIGHT_028875",false
"HOUSE_OVERSIGHT_028880",false
"HOUSE_OVERSIGHT_028882",false
"HOUSE_OVERSIGHT_028884",false
"HOUSE_OVERSIGHT_028924",false
"HOUSE_OVERSIGHT_028925",false
"HOUSE_OVERSIGHT_028926",false
"HOUSE_OVERSIGHT_028931",false
"HOUSE_OVERSIGHT_028933",false
"HOUSE_OVERSIGHT_028936",false
"HOUSE_OVERSIGHT_028939",false
"HOUSE_OVERSIGHT_028942",false
"HOUSE_OVERSIGHT_028943",false
"HOUSE_OVERSIGHT_028946",false
"HOUSE_OVERSIGHT_028950",false
"HOUSE_OVERSIGHT_028955",false
"HOUSE_OVERSIGHT_028957",false
"HOUSE_OVERSIGHT_028958",false
"HOUSE_OVERSIGHT_028960",false
"HOUSE_OVERSIGHT_028964",false
"HOUSE_OVERSIGHT_028968",false
"HOUSE_OVERSIGHT_028970",false
"HOUSE_OVERSIGHT_028972",false
"HOUSE_OVERSIGHT_028974",false
"HOUSE_OVERSIGHT_028976",false
"HOUSE_OVERSIGHT_028977",false
"HOUSE_OVERSIGHT_028978",false
"HOUSE_OVERSIGHT_028980",false
"HOUSE_OVERSIGHT_028985",false
"HOUSE_OVERSIGHT_028986",false
"HOUSE_OVERSIGHT_029003",false
"HOUSE_OVERSIGHT_029005",false
"HOUSE_OVERSIGHT_029007",false
"HOUSE_OVERSIGHT_029010",false
"HOUSE_OVERSIGHT_029013",false
"HOUSE_OVERSIGHT_029015",false
"HOUSE_OVERSIGHT_029017",false
"HOUSE_OVERSIGHT_029020",false
"HOUSE_OVERSIGHT_029021",false
"HOUSE_OVERSIGHT_029042",false
"HOUSE_OVERSIGHT_029063",false
"HOUSE_OVERSIGHT_029084",false
"HOUSE_OVERSIGHT_029085",false
"HOUSE_OVERSIGHT_029087",false
"HOUSE_OVERSIGHT_029088",false
"HOUSE_OVERSIGHT_029090",false
"HOUSE_OVERSIGHT_029092",false
"HOUSE_OVERSIGHT_029094",false
"HOUSE_OVERSIGHT_029095",false
"HOUSE_OVERSIGHT_029096",false
"HOUSE_OVERSIGHT_029098",false
"HOUSE_OVERSIGHT_029100",false
"HOUSE_OVERSIGHT_029106",false
"HOUSE_OVERSIGHT_029108",false
"HOUSE_OVERSIGHT_029111",false
"HOUSE_OVERSIGHT_029113",false
"HOUSE_OVERSIGHT_029117",false
"HOUSE_OVERSIGHT_029122",false
"HOUSE_OVERSIGHT_029126",false
"HOUSE_OVERSIGHT_029131",false
"HOUSE_OVERSIGHT_029137",false
"HOUSE_OVERSIGHT_029143",false
"HOUSE_OVERSIGHT_029150",false
"HOUSE_OVERSIGHT_029154",false
"HOUSE_OVERSIGHT_029163",false
"HOUSE_OVERSIGHT_029174",false
"HOUSE_OVERSIGHT_029180",false
"HOUSE_OVERSIGHT_029185",false
"HOUSE_OVERSIGHT_029190",false
"HOUSE_OVERSIGHT_029196",false
"HOUSE_OVERSIGHT_029203",false
"HOUSE_OVERSIGHT_029204",false
"HOUSE_OVERSIGHT_029207",false
